,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_supertren…(H,L,C,30)","Exit_supertren…(H,L,C,30)","Entry_ema(C[D],10)","Exit_ema(C[D],10)"
28,5,1280,1302,19597.94921875,19459.599609375,,,-691.748046875,0.0,-0.007059392175719936,2023-08-07 15:15:00+05:30,2023-08-11 09:15:00+05:30,3 days 18:00:00,,19432.167016878502,19669.544111081486,19595.887956433442,19589.766652143626
29,-5,1303,1354,19463.94921875,19439.44921875,,,122.5,0.0,0.0012587373571854021,2023-08-11 10:15:00+05:30,2023-08-23 12:15:00+05:30,12 days 02:00:00,,19624.01477612877,19298.568719323303,19589.766652143626,19428.096330034296
30,5,1355,1363,19461.099609375,19397.05078125,,,-320.244140625,0.0,-0.0032911207182838575,2023-08-23 13:15:00+05:30,2023-08-24 14:15:00+05:30,1 days 01:00:00,,19312.380784147943,19559.836710749503,19428.096330034296,19430.67895752806
31,-5,1364,1386,19380.400390625,19440.55078125,,,-300.751953125,0.0,-0.0031036712045482417,2023-08-24 15:15:00+05:30,2023-08-30 09:15:00+05:30,5 days 18:00:00,,19528.441339922436,19287.907993400167,19430.67895752806,19369.80915054669
32,5,1387,1395,19447.69921875,19305.25,,,-712.24609375,0.0,-0.007324733746018719,2023-08-30 10:15:00+05:30,2023-08-31 11:15:00+05:30,1 days 01:00:00,,19303.093937890993,19454.33011048098,19369.80915054669,19364.752941356383
33,-5,1396,1404,19279.400390625,19435.94921875,,,-782.744140625,0.0,-0.008120005028845467,2023-08-31 12:15:00+05:30,2023-09-01 13:15:00+05:30,1 days 01:00:00,,19432.01367060036,19271.12152006104,19364.752941356383,19349.26163951886
34,4,1405,1487,19435.150390625,19934.44921875,,,1997.1953125,0.0,0.02569050499171066,2023-09-01 14:15:00+05:30,2023-09-20 12:15:00+05:30,18 days 22:00:00,,19302.168022777754,20083.91789642023,19349.26163951886,19935.023212776632
35,-4,1488,1562,19908.0,19642.44921875,,,1062.203125,0.0,0.013338897993269039,2023-09-20 13:15:00+05:30,2023-10-06 10:15:00+05:30,15 days 21:00:00,,20049.67753424789,19462.877454665926,19935.023212776632,19625.83959422727
36,5,1564,1574,19648.400390625,19497.5,,,-754.501953125,0.0,-0.007680034385750822,2023-10-06 12:15:00+05:30,2023-10-09 15:15:00+05:30,3 days 03:00:00,,19472.02746518991,19656.016626875222,19625.83959422727,19630.2142844814
37,5,1578,1619,19676.5,19700.80078125,,,121.50390625,0.0,0.0012350154371967292,2023-10-10 12:15:00+05:30,2023-10-18 11:15:00+05:30,7 days 23:00:00,,19511.47098011082,19865.153121560616,19606.084414575693,19718.58586075763
38,-5,1620,1694,19709.650390625,19264.900390625,,,2223.75,0.0,0.022565088227620045,2023-10-18 12:15:00+05:30,2023-11-03 09:15:00+05:30,15 days 21:00:00,,19838.637275321096,19073.95869391792,19718.58586075763,19197.80926766837
39,5,1695,1979,19268.5,21515.099609375,,,11232.998046875,0.0,0.11659442143264909,2023-11-03 10:15:00+05:30,2024-01-03 14:15:00+05:30,61 days 04:00:00,,19089.919836412322,21722.74209279039,19197.80926766837,21521.2761106249
