,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_get_sma(C,30)","Exit_get_sma(C,30)","Entry_get_sma(C,60)","Exit_get_sma(C,60)"
59,137,2654,2738,1633.021240234375,1744.939208984375,,,10704.955903320313,4627.805815429687,0.04784895770651336,2025-04-21 15:00:00+00:00,2025-04-25 03:00:00+00:00,3 days 12:00:00,,1608.4358642578125,1766.0353556315104,1607.3215759277343,1769.1552408854166
60,-134,2738,2759,1744.939208984375,1786.1961669921875,,,-10260.15377685547,4731.721403808594,-0.04388021735848559,2025-04-25 03:00:00+00:00,2025-04-26 00:00:00+00:00,0 days 21:00:00,,1766.0353556315104,1779.7012451171875,1769.1552408854166,1777.4018798828124
61,125,2759,2813,1786.1961669921875,1795.7708740234375,,,-3280.6204223632812,4477.458801269531,-0.014693214476605262,2025-04-26 00:00:00+00:00,2025-04-28 06:00:00+00:00,2 days 06:00:00,,1779.7012451171875,1798.35185546875,1777.4018798828124,1800.7298767089844
62,-123,2813,2843,1795.7708740234375,1830.4776611328125,,,-8729.220512695312,4460.285698242187,-0.03952022693292172,2025-04-28 06:00:00+00:00,2025-04-29 12:00:00+00:00,1 days 06:00:00,,1798.35185546875,1801.8586018880208,1800.7298767089844,1800.1052286783854
63,116,2843,2873,1830.4776611328125,1776.2061767578125,,,-10479.245439453125,4183.753251953125,-0.04935232189503986,2025-04-29 12:00:00+00:00,2025-04-30 18:00:00+00:00,1 days 06:00:00,,1801.8586018880208,1799.8711303710938,1800.1052286783854,1800.8648661295572
64,-114,2873,2899,1776.2061767578125,1843.43017578125,,,-11789.921330566405,4126.385441894531,-0.05822542669995999,2025-04-30 18:00:00+00:00,2025-05-01 20:00:00+00:00,1 days 02:00:00,,1799.8711303710938,1816.3759887695312,1800.8648661295572,1811.7946004231771
65,103,2899,2940,1843.43017578125,1830.2730712890625,,,-5139.096107177735,3783.914344482422,-0.02706592178992916,2025-05-01 20:00:00+00:00,2025-05-03 13:00:00+00:00,1 days 17:00:00,,1816.3759887695312,1835.3282836914063,1811.7946004231771,1835.4152262369792
66,-101,2940,3041,1830.2730712890625,1796.2347412109375,,,-224.9015527343754,3662.7728906250004,-0.0012166206681424978,2025-05-03 13:00:00+00:00,2025-05-07 18:00:00+00:00,4 days 05:00:00,,1835.3282836914063,1809.7359700520833,1835.4152262369792,1808.293349202474
67,103,3041,3170,1796.2347412109375,2440.8095703125,,,62027.0517565918,4364.15564086914,0.335259291099308,2025-05-07 18:00:00+00:00,2025-05-13 03:00:00+00:00,5 days 09:00:00,,1809.7359700520833,2504.109366861979,1808.293349202474,2507.8869425455728
68,-101,3170,3189,2440.8095703125,2689.7734375,,,-30327.239423828127,5181.888837890625,-0.12302053421856296,2025-05-13 03:00:00+00:00,2025-05-13 22:00:00+00:00,0 days 19:00:00,,2504.109366861979,2522.992333984375,2507.8869425455728,2519.5677164713543
69,80,3189,3230,2689.7734375,2500.50634765625,,,-19293.591015625,4152.223828125,-0.08966178501616363,2025-05-13 22:00:00+00:00,2025-05-15 15:00:00+00:00,1 days 17:00:00,,2522.992333984375,2580.1199462890627,2519.5677164713543,2586.5770589192707
70,-79,3230,3346,2500.50634765625,2516.111083984375,,,-5195.901940917969,3963.127770996094,-0.026303036865384946,2025-05-15 15:00:00+00:00,2025-05-20 11:00:00+00:00,4 days 20:00:00,,2580.1199462890627,2490.411067708333,2586.5770589192707,2482.830354817708
71,76,3346,3435,2516.111083984375,2549.96240234375,,,-1277.5156542968753,3850.2158496093753,-0.006680713189056803,2025-05-20 11:00:00+00:00,2025-05-24 04:00:00+00:00,3 days 17:00:00,,2490.411067708333,2602.7527669270835,2482.830354817708,2604.814286295573
72,-75,3435,3494,2549.96240234375,2552.02685546875,,,-3981.325927734375,3826.491943359375,-0.020817697411669073,2025-05-24 04:00:00+00:00,2025-05-26 15:00:00+00:00,2 days 11:00:00,,2602.7527669270835,2543.315218098958,2604.814286295573,2539.2500854492187
73,73,3494,3586,2552.02685546875,2621.63916015625,,,1304.9220507812497,3776.7761914062503,0.007004489193734111,2025-05-26 15:00:00+00:00,2025-05-30 11:00:00+00:00,3 days 20:00:00,,2543.315218098958,2654.9981038411456,2539.2500854492187,2658.8006876627605
74,-72,3586,3669,2621.63916015625,2560.77001953125,,,651.2435156249999,3731.334609375,0.0034501501829816185,2025-05-30 11:00:00+00:00,2025-06-02 22:00:00+00:00,3 days 11:00:00,,2654.9981038411456,2522.1700927734373,2658.8006876627605,2521.4576334635417
75,73,3669,3736,2560.77001953125,2559.60302734375,,,-3823.06275390625,3737.87232421875,-0.02045116205548068,2025-06-02 22:00:00+00:00,2025-06-05 17:00:00+00:00,2 days 19:00:00,,2522.1700927734373,2614.1493001302083,2521.4576334635417,2617.0111572265623
76,-72,3736,3790,2559.60302734375,2536.617919921875,,,-2014.3513476562503,3669.2790820312503,-0.010930250414578832,2025-06-05 17:00:00+00:00,2025-06-07 23:00:00+00:00,2 days 06:00:00,,2614.1493001302083,2500.840120442708,2617.0111572265623,2497.404821777344
77,72,3790,3908,2536.617919921875,2640.860107421875,,,3777.6533203125,3727.7841796875,0.020684000855824055,2025-06-07 23:00:00+00:00,2025-06-12 21:00:00+00:00,4 days 22:00:00,,2500.840120442708,2758.9178466796875,2497.404821777344,2767.776904296875
78,-70,3908,3988,2640.860107421875,2575.999755859375,,,888.4227050781246,3651.8019042968754,0.004805916411103513,2025-06-12 21:00:00+00:00,2025-06-16 05:00:00+00:00,3 days 08:00:00,,2758.9178466796875,2541.602718098958,2767.776904296875,2539.5042724609375
79,73,3988,4029,2575.999755859375,2520.880615234375,,,-7744.419936523438,3720.7226708984376,-0.04118321210808722,2025-06-16 05:00:00+00:00,2025-06-17 22:00:00+00:00,1 days 17:00:00,,2541.602718098958,2566.334326171875,2539.5042724609375,2571.364510091146
80,-71,4029,4079,2520.880615234375,2521.52587890625,,,-3625.922331542969,3580.108610839844,-0.020258527240304646,2025-06-17 22:00:00+00:00,2025-06-20 00:00:00+00:00,2 days 02:00:00,,2566.334326171875,2517.881168619792,2571.364510091146,2515.3500244140623
