,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_upper1(C,7)","Exit_upper1(C,7)","Entry_lower1(C,7)","Exit_lower1(C,7)"
47,-30,952,959,184.52841186523438,190.8722686767578,,,-212.83974517822264,22.524040832519532,-0.03844751114960454,2024-06-25,2024-07-05,10 days,,184.1704888406336,190.59841161856104,173.20431497493558,180.45842955052376
48,-28,959,980,190.8722686767578,159.729736328125,,,852.3571934814453,19.633712280273436,0.15948533828230146,2024-07-05,2024-08-05,31 days,,190.59841161856104,176.4183288762435,180.45842955052376,160.60673477470516
49,39,980,1000,159.729736328125,157.71124267578125,,,-103.48164880371094,24.76039636230469,-0.016611657111239818,2024-08-05,2024-09-03,29 days,,176.4183288762435,169.63796203712988,160.60673477470516,158.0261702173344
50,39,1000,1019,157.71124267578125,166.46144104003906,,,315.9722668762207,25.285469329833987,0.05137143591900906,2024-09-03,2024-09-30,27 days,,169.63796203712988,166.4060378599436,158.0261702173344,160.91850786410774
51,-39,1019,1041,166.46144104003906,175.37245178222656,,,-374.1924625854492,26.66304364013672,-0.057639045222035556,2024-09-30,2024-10-30,30 days,,166.4060378599436,175.22470924146887,160.91850786410774,160.00523199039498
52,-35,1041,1057,175.37245178222656,168.5025177001953,,,216.3764450073242,24.071247863769532,0.03525174039730771,2024-10-30,2024-11-21,22 days,,175.22470924146887,182.607343746748,160.00523199039498,168.62116315894397
53,37,1057,1069,168.5025177001953,185.92787170410156,,,618.5102493286133,26.22784881591797,0.09920619260324715,2024-11-21,2024-12-10,19 days,,182.607343746748,184.6698828092625,168.62116315894397,167.19938424570404
54,-37,1069,1070,185.92787170410156,196.0750274658203,,,-403.712977722168,28.26821453857422,-0.05868491614545749,2024-12-10,2024-12-11,1 days,,184.6698828092625,195.27295639305098,167.19938424570404,163.41025806704945
55,-33,1070,1117,196.0750274658203,180.9938507080078,,,472.79228704833986,24.886545959472656,0.07306916738268629,2024-12-11,2025-02-21,72 days,,195.27295639305098,189.13252406344952,163.41025806704945,181.47581769854827
56,39,1117,1142,180.9938507080078,155.7334442138672,,,-1011.4205822753906,26.26472900390625,-0.1432858684565076,2025-02-21,2025-03-28,35 days,,189.13252406344952,175.27877194161752,181.47581769854827,155.82693658935344
57,38,1142,1166,155.7334442138672,165.46304321289062,,,345.31382891845703,24.410933044433595,0.05835102453452813,2025-03-28,2025-05-02,35 days,,175.27877194161752,165.45676319120156,155.82693658935344,159.37353291649936
58,-38,1166,1169,165.46304321289062,152.4802703857422,,,469.1816755981445,24.163691833496095,0.07462020497269126,2025-05-02,2025-05-07,5 days,,165.45676319120156,170.39995906140126,159.37353291649936,153.3782566194023
59,45,1169,1199,152.4802703857422,167.58021545410156,,,650.6920843505859,28.80544372558594,0.09483078735432107,2025-05-07,2025-06-20,44 days,,170.39995906140126,182.29935833263912,153.3782566194023,168.39290676920243
60,44,1199,1219,167.58021545410156,190.9792938232422,,,998.0062114257812,31.55323681640625,0.1353498638793569,2025-06-20,2025-07-21,31 days,,182.29935833263912,190.44689625444502,168.39290676920243,178.58897061915988
61,-44,1219,1241,190.9792938232422,200.01123046875,,,-431.81237854003905,34.40716613769531,-0.0513873388974562,2025-07-21,2025-08-20,30 days,,190.44689625444502,206.01132594415893,178.58897061915988,200.1656411317339
62,40,1241,1250,200.01123046875,230.8936309814453,,,1200.8236315917968,34.47238891601563,0.1500945257895675,2025-08-20,2025-09-03,14 days,,206.01132594415893,228.2151637060117,200.1656411317339,198.3492894189883
63,-40,1250,1253,230.8936309814453,234.16000366210938,,,-167.85919799804688,37.20429077148438,-0.01817494892394154,2025-09-03,2025-09-08,5 days,,228.2151637060117,244.87459973970468,198.3492894189883,203.63575007893374
